DFW TECH COMPANIES,,,,,,,,,,,,Markdown
Name,Location,Address,Website,Category,Note,Team Size,Company Size,Frontend Stack,Mobile Stack,Infrastructure,Category Sort Order,Name|Location|Category|Website
Haxiot,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Haxiot|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Hypergiant,"Dallas, TX",,https://www.hypergiant.com/,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Hypergiant|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|https://www.hypergiant.com/"
Id90travel.com,"Southlake, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Id90travel.com|Southlake, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Immosis LLC,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Immosis LLC|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
InvoiceCare,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"InvoiceCare|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
KubOS,"Denton, TX",,kubos.co,Tech/SAAS/eCommerce Companies (HQ in DFW),,4,8,,,,1,"KubOS|Denton, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|kubos.co"
Lanyon,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Lanyon|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Lone Wold Technologies,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Lone Wold Technologies|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
MarketChorus/SpaceAgent,"Richardson, TX","1201 Kas Dr suite c, Richardson, TX 75081",http://www.marketchorus.com/,Tech/SAAS/eCommerce Companies (HQ in DFW),Small Company Internal Team,3-Jan,,,,,1,"MarketChorus/SpaceAgent|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|http://www.marketchorus.com/"
Massergy Communications,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Massergy Communications|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Match.com,"Dallas, TX","8300 Douglas Ave, Dallas, TX 75225",,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Match.com|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
MineralWare.com,"Fort Worth, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"MineralWare.com|Fort Worth, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Munzee,"McKinney, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Munzee|McKinney, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
MusicBed.com / FilmSupply,,,musicbed.com,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,MusicBed.com / FilmSupply||Tech/SAAS/eCommerce Companies (HQ in DFW)|musicbed.com
Newline Interactive,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Newline Interactive|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
NoiseAware,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"NoiseAware|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Omnitracs,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Omnitracs|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
One Technologies,"Dallas, TX","8144 Walnut Hill Ln #600, Dallas, TX 75231",https://onetechnologies.net/,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),Large Company Internal Team,,,,,,1,"One Technologies|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|https://onetechnologies.net/"
OrderMyGear.com,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"OrderMyGear.com|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
ParkHub.com,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"ParkHub.com|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
PayCor,"Frisco, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"PayCor|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
PestRoutes,"McKinney, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"PestRoutes|McKinney, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Pivotal,"Irving, TX",3001 Hackberry Rd ,https://pivotal.io/,Tech/SAAS/eCommerce Companies (HQ in DFW),,small,,,,,1,"Pivotal|Irving, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|https://pivotal.io/"
PostItPlayIt,"Addison, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"PostItPlayIt|Addison, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
R3Pi / Solera,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"R3Pi / Solera|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
RealPage,"Richardson, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"RealPage|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
rewardStyle/LikeToKnowit.com,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"rewardStyle/LikeToKnowit.com|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Ride Alto,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Ride Alto|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Robin Autopilot,"Dallas, TX",,http://tryrobin.com,Tech/SAAS/eCommerce Companies (HQ in DFW),,3 (and hiring!),10+,Ember,,AWS,1,"Robin Autopilot|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|http://tryrobin.com"
RoboAmp,"Addison, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"RoboAmp|Addison, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Robokind,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Robokind|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Sabre,"Southlake, TX","3150 Sabre Dr, Southlake, TX",,Tech/SAAS/eCommerce Companies (HQ in DFW),Large Company Internal Team,,,,Native/Swift,Digital Ocean + Proprietary,1,"Sabre|Southlake, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Siepe Systems,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Siepe Systems|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Sifter,"Grapevine, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Sifter|Grapevine, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Sigmetrix,"McKinney, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Sigmetrix|McKinney, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Simpli.Fi,"Fort Worth, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Simpli.Fi|Fort Worth, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
SiSTeR Technologies,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"SiSTeR Technologies|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Solovis,"Irving, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Solovis|Irving, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Stack Sports,"Frisco, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),(FKA Blue Star Sports),,,,,,1,"Stack Sports|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Stone Eagle,"Richardson, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Stone Eagle|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Tantrum Street,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Tantrum Street|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Texas Instruments (TI),"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Texas Instruments (TI)|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Toyota Connected,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,small,<100,,,,1,"Toyota Connected|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Traxo,"Dallas, TX",,https://www.traxo.com/,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Traxo|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|https://www.traxo.com/"
Tripbam,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Tripbam|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Tripcase,,,,Tech/SAAS/eCommerce Companies (HQ in DFW),Part of Sabre,,,,,,1,Tripcase||Tech/SAAS/eCommerce Companies (HQ in DFW)|
TripCase @ Sabre,"Southlake, Texas","3150 Sabre Dr, Southlake, TX",,Tech/SAAS/eCommerce Companies (HQ in DFW),Large Company Internal Team,25,,Backbone,Cordova/iOS native/Swift/Android Native,,1,"TripCase @ Sabre|Southlake, Texas|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Tyler Technologies,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Tyler Technologies|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Valify,"Frisco, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Valify|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Veryable,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Veryable|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Vinli,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),Small Company Internal Team,,,,,,1,"Vinli|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Viverae,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Viverae|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Woot.com (Amazon),"Carrolton, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Woot.com (Amazon)|Carrolton, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
YellowFolder,"Carollton, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"YellowFolder|Carollton, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
YourCause,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"YourCause|Plano, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
ZenLeap,"Celina, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"ZenLeap|Celina, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Zimperium,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ in DFW),,,,,,,1,"Zimperium|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ in DFW)|"
Amazon Web Services,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Amazon Web Services|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Avigilon (Motorola),"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Avigilon (Motorola)|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Bloomreach,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,Angular,,AWS,2,"Bloomreach|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Bluebeam,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),Formerly Project Atlas,,,,,,2,"Bluebeam|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
BrainSpace (PureDiscovery),"Addison, Texas","15601 Dallas Pkwy #1000, Addison, TX 75001",https://www.brainspace.com/,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),Small Company Internal Team,3-Jan,,Angular,,AWS + Proprietary,2,"BrainSpace (PureDiscovery)|Addison, Texas|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|https://www.brainspace.com/"
CA Technologies,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"CA Technologies|Plano, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Call-Em-All,"Frisco, TX","2611 Internet Blvd #120, Frisco, TX 75034",https://www.call-em-all.com/,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,React,,,2,"Call-Em-All|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|https://www.call-em-all.com/"
Campus Labs,"Dallas, TX","13140 Coit Rd #405, Dallas, TX 75240",https://www.campuslabs.com/,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),(previously OrgSync),,,,,,2,"Campus Labs|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|https://www.campuslabs.com/"
Concur Technologies,"Allen, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Concur Technologies|Allen, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Dealer.com,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Dealer.com|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Dealertrack Technologies,"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Dealertrack Technologies|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Deltek,"Richardson, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Deltek|Richardson, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Drive.ai,"Frisco, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Drive.ai|Frisco, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Electronic Data Systems (HP),"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Electronic Data Systems (HP)|Plano, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Hotels.com,,,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,Hotels.com||Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|
Intuit,"Plano, Texas","5601 Headquarters Dr, Plano, TX 75024",,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),Large Company Internal Team,,,,,,2,"Intuit|Plano, Texas|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Kimbia,,,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,Kimbia||Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|
LivingSocial / Groupon,Dallas Remote Individuals,,chrismo@clabs.org for more info,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,60-ish,LS: 250-300,javascript stew,,,2,LivingSocial / Groupon|Dallas Remote Individuals|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|chrismo@clabs.org for more info
Marketron,"North Richland Hills, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Marketron|North Richland Hills, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
McAfee,"Plano, TX",,,,,,,,,,2,"McAfee|Plano, TX||"
Oculus VR (Facebook),,,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,Oculus VR (Facebook)||Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|
Ooyala,"Plano, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Ooyala|Plano, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Paycom,"Lewisville, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Paycom|Lewisville, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
Salesforce,,,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,Salesforce||Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|
SAP,,,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,SAP||Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|
Softlayer (IBM),"Dallas, TX",,,Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW),,,,,,,2,"Softlayer (IBM)|Dallas, TX|Tech/SAAS/eCommerce Companies (HQ elsewhere; dev offices in DFW)|"
[x]CubeLabs,"Dallas, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"[x]CubeLabs|Dallas, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
10up,"Irving, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"10up|Irving, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
422 Studios,"Fort Worth, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"422 Studios|Fort Worth, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
900lbs of Creative,,,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,900lbs of Creative||Web Design/Mobile Dev/Digital Marketing Firms|
AppShark Software,"Dallas, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"AppShark Software|Dallas, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Ardent Creative,"Fort Worth, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"Ardent Creative|Fort Worth, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Artisans Collaborative,,,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,Artisans Collaborative||Web Design/Mobile Dev/Digital Marketing Firms|
ArtistUprising.com,,,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,ArtistUprising.com||Web Design/Mobile Dev/Digital Marketing Firms|
Atomic Design,"Plano, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"Atomic Design|Plano, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Avio Consulting,"Addison, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"Avio Consulting|Addison, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Bottle Rocket,"Dallas, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,Agency/Consulting,,,Angular,,AWS + Proprietary,3,"Bottle Rocket|Dallas, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
CedarWaters Custom Software,"Frsico, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"CedarWaters Custom Software|Frsico, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Chaotic Moon Studios,"Dallas, TX","1701 N Market St; Dallas, Texas 75202",,Web Design/Mobile Dev/Digital Marketing Firms,Agency/Consulting,,,,,,3,"Chaotic Moon Studios|Dallas, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Chetu Inx,"Plano, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"Chetu Inx|Plano, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Copper Mobile,"Dallas, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,,,,,,,3,"Copper Mobile|Dallas, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
Credera,"Addison, TX",,,Web Design/Mobile Dev/Digital Marketing Firms,Agency/Consulting,,,,,,3,"Credera|Addison, TX|Web Design/Mobile Dev/Digital Marketing Firms|"
